time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1882.00,197,23.0000,52.1583,14.9578,0.7873,17.0136,1.2333,0.0000,0.0000,31.5978,0.7290,0.0000,0.0000,31.5978,0.7290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7022,0.0162,0.0000,0.0000,2.8087,0.0648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5180,0.0196,0.0000,0.0000,17.0136,1.2333,0.0000,0.0000,31.5978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4529,0.0101,0.0000,0.0000,8.6043,0.1912,0.0000,0.0000,0.1053,0.0023,0.0000,0.0000,2.0009,0.0445,0.0000,0.0000
1884.00,197,23.0000,93.4727,20.8974,1.0999,32.6148,1.9864,0.0000,0.0000,54.5447,1.0732,0.0000,0.0000,54.5447,1.0732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2121,0.0238,0.0000,0.0000,4.8484,0.0954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4836,0.0188,0.0000,0.0000,32.6148,1.9864,0.0000,0.0000,54.5447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7091,0.0156,0.0000,0.0000,13.4729,0.2972,0.0000,0.0000,0.1157,0.0026,0.0000,0.0000,2.1987,0.0486,0.0000,0.0000
1886.00,197,23.0000,41.9309,13.5164,0.7114,14.1269,1.0435,0.0000,0.0000,25.0002,0.5920,0.0000,0.0000,25.0002,0.5920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556,0.0132,0.0000,0.0000,2.2222,0.0526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1499,0.0057,0.0000,0.0000,14.1269,1.0435,0.0000,0.0000,25.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3976,0.0088,0.0000,0.0000,7.5545,0.1679,0.0000,0.0000,0.0954,0.0021,0.0000,0.0000,1.8123,0.0403,0.0000,0.0000
1888.00,197,23.0000,59.7225,14.5938,0.7681,20.6812,1.4203,0.0000,0.0000,35.1052,0.7773,0.0000,0.0000,35.1052,0.7773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7801,0.0173,0.0000,0.0000,3.1205,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2940,0.0109,0.0000,0.0000,20.6812,1.4203,0.0000,0.0000,35.1052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4769,0.0106,0.0000,0.0000,9.0602,0.2013,0.0000,0.0000,0.1013,0.0023,0.0000,0.0000,1.9245,0.0428,0.0000,0.0000
1890.00,197,23.0000,38.0663,14.1091,0.7426,13.2376,0.9693,0.0000,0.0000,22.1823,0.5246,0.0000,0.0000,22.1823,0.5246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4929,0.0117,0.0000,0.0000,1.9718,0.0466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0080,0.0000,0.0000,13.2376,0.9693,0.0000,0.0000,22.1823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3822,0.0084,0.0000,0.0000,7.2609,0.1605,0.0000,0.0000,0.0956,0.0021,0.0000,0.0000,1.8173,0.0400,0.0000,0.0000
1892.00,197,23.0000,42.2239,15.1065,0.7951,14.7602,1.0658,0.0000,0.0000,24.6846,0.5758,0.0000,0.0000,24.6846,0.5758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5485,0.0128,0.0000,0.0000,2.1942,0.0512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0845,0.0031,0.0000,0.0000,14.7602,1.0658,0.0000,0.0000,24.6846,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4246,0.0094,0.0000,0.0000,8.0672,0.1788,0.0000,0.0000,0.1021,0.0023,0.0000,0.0000,1.9395,0.0429,0.0000,0.0000
1894.00,197,23.0000,41.4750,13.4846,0.7097,14.4995,1.0465,0.0000,0.0000,24.2434,0.5653,0.0000,0.0000,24.2434,0.5653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5387,0.0126,0.0000,0.0000,2.1550,0.0502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0973,0.0035,0.0000,0.0000,14.4995,1.0465,0.0000,0.0000,24.2434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4246,0.0094,0.0000,0.0000,8.0666,0.1790,0.0000,0.0000,0.0924,0.0021,0.0000,0.0000,1.7556,0.0390,0.0000,0.0000
1896.00,197,23.0000,80.6141,18.5836,0.9781,28.2142,1.5936,0.0000,0.0000,47.1285,0.8601,0.0000,0.0000,47.1285,0.8601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0473,0.0191,0.0000,0.0000,4.1892,0.0765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2956,0.0105,0.0000,0.0000,28.2142,1.5936,0.0000,0.0000,47.1285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6429,0.0134,0.0000,0.0000,12.2143,0.2547,0.0000,0.0000,0.1016,0.0022,0.0000,0.0000,1.9302,0.0409,0.0000,0.0000
1898.00,197,23.0000,42.0179,17.1262,0.9014,14.6391,1.0226,0.0000,0.0000,24.5175,0.5532,0.0000,0.0000,24.5175,0.5532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5448,0.0123,0.0000,0.0000,2.1793,0.0492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0033,0.0000,0.0000,14.6391,1.0226,0.0000,0.0000,24.5175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4530,0.0099,0.0000,0.0000,8.6062,0.1881,0.0000,0.0000,0.1107,0.0024,0.0000,0.0000,2.1036,0.0458,0.0000,0.0000
1900.00,197,23.0000,72.3452,18.2298,0.9595,24.3404,1.4850,0.0000,0.0000,43.1723,0.8440,0.0000,0.0000,43.1723,0.8440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9594,0.0188,0.0000,0.0000,3.8375,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0984,0.0035,0.0000,0.0000,24.3404,1.4850,0.0000,0.0000,43.1723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5753,0.0123,0.0000,0.0000,10.9308,0.2328,0.0000,0.0000,0.1198,0.0026,0.0000,0.0000,2.2754,0.0487,0.0000,0.0000
1902.00,197,23.0000,52.5055,16.0584,0.8452,17.7497,1.1697,0.0000,0.0000,31.2498,0.6606,0.0000,0.0000,31.2498,0.6606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6944,0.0147,0.0000,0.0000,2.7778,0.0587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1179,0.0042,0.0000,0.0000,17.7497,1.1697,0.0000,0.0000,31.2498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4735,0.0102,0.0000,0.0000,8.9958,0.1931,0.0000,0.0000,0.1099,0.0024,0.0000,0.0000,2.0882,0.0453,0.0000,0.0000
1904.00,197,23.0000,45.8396,13.0284,0.6857,16.0123,1.0710,0.0000,0.0000,26.8057,0.5791,0.0000,0.0000,26.8057,0.5791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5957,0.0129,0.0000,0.0000,2.3827,0.0515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2763,0.0096,0.0000,0.0000,16.0123,1.0710,0.0000,0.0000,26.8057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4081,0.0089,0.0000,0.0000,7.7541,0.1683,0.0000,0.0000,0.0946,0.0021,0.0000,0.0000,1.7977,0.0391,0.0000,0.0000
1906.00,197,23.0000,45.4708,14.0295,0.7384,15.0394,1.0438,0.0000,0.0000,27.3562,0.6062,0.0000,0.0000,27.3562,0.6062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6079,0.0135,0.0000,0.0000,2.4317,0.0539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1494,0.0052,0.0000,0.0000,15.0394,1.0438,0.0000,0.0000,27.3562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4199,0.0091,0.0000,0.0000,7.9776,0.1736,0.0000,0.0000,0.1015,0.0022,0.0000,0.0000,1.9284,0.0421,0.0000,0.0000
