    time  asom11tosom21  asom12tosom22  asom12tosom3  asom21tosom11  asom21tosom22  asom22tosom12  asom22tosom3  asom3tosom12  ametc1tosom11  ametc2tosom12  astruc1tosom11  astruc1tosom21  astruc2tosom12  astruc2tosom22  awood1tosom11  awood1tosom21  awood2tosom11  awood2tosom21  awood3tosom12  awood3tosom22
 1900.00    0.103407      9.478815      0.165886      0.000501      0.003092      7.878355      0.084942      1.048061      0.844081      6.461616      0.104403      0.062157      1.002390      0.550523      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1901.00    0.012746      6.751801      0.118048      0.000082      0.000506      8.491599      0.091554      1.164188      0.051361      2.921469      0.007403      0.004657      0.820045      0.448710      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1902.00    0.023995      9.091310      0.160574      0.000147      0.000910      7.226906      0.077918      1.020973      0.304378      5.519934      0.029970      0.018474      1.000725      0.550784      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1903.00    0.004852      5.593907      0.097355      0.000022      0.000133      6.377743      0.068763      0.924163      0.044691      3.059093      0.004701      0.003090      0.701625      0.385693      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1904.00    0.020013      8.583079      0.153685      0.000083      0.000510      7.015479      0.075639      1.042515      0.298445      4.825399      0.029203      0.018237      0.999773      0.548720      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1905.00    0.013270      5.892974      0.102225      0.000053      0.000330      7.443194      0.080250      1.141032      0.101340      2.603444      0.010863      0.007153      0.710076      0.390280      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1906.00    0.026702      8.242485      0.144745      0.000133      0.000821      6.521306      0.070311      1.028717      0.330916      4.826087      0.031931      0.019723      0.911325      0.502530      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1907.00    0.003692      5.972049      0.105583      0.000019      0.000115      7.144451      0.077029      1.160651      0.024863      3.026257      0.002594      0.001730      0.741570      0.410416      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1908.00    0.034858      9.490517      0.166629      0.000204      0.001256      7.533978      0.081229      1.263208      0.380806      5.682223      0.044976      0.026003      1.055723      0.583788      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1909.00    0.017325      6.282850      0.111348      0.000090      0.000553      7.722768      0.083264      1.341904      0.113301      2.963499      0.015392      0.009281      0.818486      0.439344      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1910.00    0.036131      7.226493      0.126592      0.000163      0.001005      5.377354      0.057977      0.962968      0.390222      4.682235      0.036911      0.023782      0.836295      0.452701      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1911.00    0.011078      4.833748      0.084173      0.000055      0.000340      5.364766      0.057841      0.984468      0.060919      2.227798      0.006444      0.004414      0.592019      0.324093      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
