    time       N2Oflux        NOflux        N2flux           CH4           NIT      ANNPPT
 1900.00      0.001572      0.003643      0.000000      0.282215      0.512901    47.000008
 1901.00      0.001264      0.004117      0.000000      0.275006      0.633819    26.500002
 1902.00      0.001457      0.003619      0.000000      0.289997      0.547809    40.000004
 1903.00      0.000883      0.003302      0.000000      0.273605      0.516952    22.699997
 1904.00      0.001543      0.003974      0.000000      0.285052      0.511439    34.000004
 1905.00      0.001007      0.003836      0.000000      0.272975      0.567639    29.100006
 1906.00      0.001174      0.003686      0.000000      0.295336      0.571458    33.500000
 1907.00      0.001306      0.003441      0.000000      0.261137      0.512296    33.400005
 1908.00      0.001331      0.003039      0.000000      0.270789      0.478551    47.200001
 1909.00      0.001280      0.003907      0.000000      0.257905      0.571648    35.700005
 1910.00      0.001059      0.003690      0.000000      0.290447      0.555405    29.400000
 1911.00      0.000826      0.003072      0.000000      0.273527      0.471540    26.000000
 1912.00      0.001339      0.003324      0.000000      0.289280      0.510176    37.699993
 1913.00      0.000964      0.003055      0.000000      0.272874      0.474110    30.500000
 1914.00      0.001165      0.003381      0.000000      0.287258      0.471966    30.599998
 1915.00      0.001139      0.003238      0.000000      0.257685      0.508579    39.699989
 1916.00      0.001083      0.003458      0.000000      0.285766      0.532062    35.700005
 1917.00      0.001216      0.003249      0.000000      0.259224      0.533415    38.799995
 1918.00      0.000848      0.002690      0.000000      0.284147      0.433787    35.699993
 1919.00      0.000781      0.003031      0.000000      0.275959      0.455058    24.799995
 1920.00      0.001121      0.002388      0.000000      0.272710      0.365966    41.799995
 1921.00      0.000915      0.002732      0.000000      0.270354      0.441836    31.799997
 1922.00      0.001122      0.002961      0.000000      0.276150      0.440406    41.999989
 1923.00      0.000972      0.003408      0.000000      0.274312      0.551571    31.100000
 1924.00      0.001058      0.002472      0.000000      0.283840      0.339634    47.000008
 1925.00      0.000907      0.002961      0.000000      0.275061      0.466762    26.500002
 1926.00      0.000976      0.002430      0.000000      0.290841      0.358136    40.000004
 1927.00      0.000634      0.002376      0.000000      0.273647      0.380054    22.699997
 1928.00      0.001036      0.002648      0.000000      0.286173      0.329439    34.000004
 1929.00      0.000725      0.002765      0.000000      0.273015      0.414396    29.100006
 1930.00      0.000781      0.002468      0.000000      0.296226      0.364720    33.500000
 1931.00      0.000960      0.002530      0.000000      0.261157      0.382898    33.400005
 1932.00      0.000976      0.002236      0.000000      0.271122      0.354170    47.200001
 1933.00      0.000961      0.002950      0.000000      0.257921      0.438161    35.700005
 1934.00      0.000738      0.002557      0.000000      0.291046      0.374810    29.400000
 1935.00      0.000625      0.002330      0.000000      0.273557      0.361391    26.000000
 1936.00      0.000977      0.002424      0.000000      0.290357      0.360376    37.699993
 1937.00      0.000745      0.002367      0.000000      0.272855      0.373808    30.500000
 1938.00      0.000855      0.002475      0.000000      0.288125      0.335753    30.599998
 1939.00      0.000874      0.002508      0.000000      0.257687      0.382450    39.699989
 1940.00      0.000635      0.002017      0.000000      0.285599      0.257039    35.700005
 1941.00      0.000926      0.002454      0.000000      0.259346      0.384471    38.799995
 1942.00      0.000542      0.001693      0.000000      0.284310      0.221890    35.699993
 1943.00      0.000595      0.002354      0.000000      0.276021      0.331647    24.799995
 1944.00      0.000897      0.001828      0.000000      0.273655      0.233293    41.799995
 1945.00      0.000736      0.002212      0.000000      0.270405      0.353438    31.799997
 1946.00      0.000824      0.002171      0.000000      0.276299      0.276395    41.999989
 1947.00      0.000815      0.002885      0.000000      0.274461      0.449176    31.100000
 1948.00      0.000855      0.001916      0.000000      0.284380      0.223389    47.000008
 1949.00      0.000770      0.002541      0.000000      0.275075      0.391569    26.500002
 1950.00      0.000836      0.002003      0.000000      0.290810      0.259501    40.000004
 1951.00      0.001138      0.004321      0.000000      0.273934      0.888382    22.699997
 1952.00      0.001138      0.002910      0.000000      0.298149      0.428023    34.000004
 1953.00      0.000752      0.002758      0.000000      0.309392      0.361331    29.100006
 1954.00      0.001146      0.003790      0.000000      0.317084      0.555406    33.500000
 1955.00      0.001405      0.003896      0.000000      0.305113      0.577614    33.400005
 1956.00      0.001251      0.003016      0.000000      0.294328      0.432375    47.200001
 1957.00      0.001174      0.003784      0.000000      0.300774      0.473923    35.700005
 1958.00      0.001161      0.004067      0.000000      0.310066      0.578569    29.400000
 1959.00      0.001008      0.003757      0.000000      0.312875      0.460590    26.000000
 1960.00      0.001590      0.004233      0.000000      0.310595      0.572954    37.699993
 1961.00      0.001579      0.004547      0.000000      0.314403      0.590790    30.500000
 1962.00      0.001835      0.005506      0.000000      0.306032      0.706730    30.599998
 1963.00      0.001338      0.004488      0.000000      0.301247      0.490756    39.699989
 1964.00      0.001494      0.005006      0.000000      0.307804      0.674501    35.700005
 1965.00      0.001708      0.004572      0.000000      0.300242      0.567206    38.799995
 1966.00      0.002248      0.007208      0.000000      0.301796      1.490744    35.699993
 1967.00      0.002901      0.013113      0.000000      0.314724      2.119097    24.799995
 1968.00      0.002811      0.005043      0.000000      0.287712      1.095089    41.799995
 1969.00      0.002856      0.009430      0.000000      0.310591      1.711274    31.799997
 1970.00      0.003943      0.011259      0.000000      0.293496      2.050721    41.999989
